dataset,model,kc,poison_rate,seed,comparison,clean_acc_improvement,valid_asr_improvement,wrong_asr_reduction,single_leak_reduction,invalid_leak_reduction,csg_improvement
cifar100,vgg11,4,0.05,1,full_vs_single,-0.007000000000000006,-0.00040404040404040664,0.0,0.9846375,0.9846499999999999,0.9842459595959595
cifar100,vgg11,4,0.05,2,full_vs_single,-0.007499999999999951,-0.0005555555555555314,0.0,0.9827125,0.9820833333333333,0.9816027777777778
cifar100,vgg11,4,0.05,0,full_vs_wo_invalid,-0.0044000000000000705,-0.0003030303030303605,-0.00020202020202020202,-0.0008000000000000004,0.0008083333333333336,0.0005053030303029393
cifar100,vgg11,4,0.05,1,full_vs_wo_invalid,-0.0006000000000000449,-0.00017676767676766403,0.0,0.0009375,0.023716666666666667,0.023539898989898944
cifar100,vgg11,4,0.05,2,full_vs_wo_invalid,-0.0024999999999999467,0.00012626262626258544,0.0,-0.0007125000000000005,0.0025916666666666675,0.0027179292929292442
cifar100,vgg11,8,0.01,0,full_vs_naive_dual,0.0020000000000000018,-0.018888888888888733,-0.0007070707070707073,0.45045625,0.9106678571428571,0.8876209325396827
cifar100,vgg11,8,0.01,1,full_vs_naive_dual,-0.0043999999999999595,-0.013787878787878904,-0.00040404040404040404,0.51485,0.8634232142857143,0.8399897997835497
cifar100,vgg11,8,0.01,2,full_vs_naive_dual,-0.0032999999999999696,-0.01097222222222205,0.0031313131313131315,0.46438124999999997,0.788525,0.7701447420634923
cifar100,vgg11,8,0.01,0,full_vs_single,0.0010999999999999899,-0.02598484848484839,-0.0034343434343434348,0.943125,0.9578303571428571,0.927687472943723
cifar100,vgg11,8,0.01,1,full_vs_single,-0.0040000000000000036,-0.017323232323232296,-0.0022222222222222222,0.94943125,0.9628285714285715,0.9358598033910535
cifar100,vgg11,8,0.01,2,full_vs_single,-0.0019000000000000128,-0.016792929292929304,-0.0026262626262626267,0.94456875,0.9551017857142857,0.9309008207070707
cifar100,vgg11,8,0.01,0,full_vs_wo_invalid,-0.0025000000000000577,-0.012373737373737259,-0.00010101010101010123,0.006312500000000006,0.5451625,0.528630726911977
cifar100,vgg11,8,0.01,1,full_vs_wo_invalid,-0.0044999999999999485,-0.005631313131313265,0.00020202020202020202,0.005568749999999997,0.467425,0.452148151154401
cifar100,vgg11,8,0.01,2,full_vs_wo_invalid,-0.0045999999999999375,-0.004027777777777852,-0.0009090909090909093,0.008462499999999998,0.40088214285714285,0.3894463293650793
cifar100,vgg11,8,0.05,0,full_vs_naive_dual,-0.007000000000000006,-0.0018434343434343692,0.00010101010101010101,0.48958749999999995,0.9716214285714286,0.9697779942279943
cifar100,vgg11,8,0.05,1,full_vs_naive_dual,-0.009199999999999986,-0.001401515151514987,0.00030303030303030303,0.48828750000000004,0.9551517857142857,0.9537502705627707
cifar100,vgg11,8,0.05,2,full_vs_naive_dual,-0.011300000000000088,-0.0011489898989899272,0.0,0.49626250000000005,0.9440196428571429,0.942870652958153
cifar100,vgg11,8,0.05,0,full_vs_single,-0.007299999999999973,-0.0021338383838384045,-0.00020202020202020202,0.9775,0.9744964285714286,0.9723625901875902
cifar100,vgg11,8,0.05,1,full_vs_single,-0.0048000000000000265,-0.0017676767676766403,-0.00010101010101010101,0.9787125,0.9757142857142858,0.9739466089466091
cifar100,vgg11,8,0.05,2,full_vs_single,-0.013500000000000068,-0.0014267676767676374,-0.00020202020202020202,0.974475,0.9694857142857143,0.9684928751803752
cifar100,vgg11,8,0.05,0,full_vs_wo_invalid,-0.012700000000000045,-0.0013257575757577023,0.00020202020202020202,0.003875,0.3198803571428572,0.3185545995670994
cifar100,vgg11,8,0.05,1,full_vs_wo_invalid,-0.0047000000000000375,-0.0010606060606059842,0.0,0.00513125,0.24045178571428572,0.23939117965367973
cifar100,vgg11,8,0.05,2,full_vs_wo_invalid,-0.008700000000000041,-0.0003914141414140815,0.00010101010101010101,0.0023437499999999986,0.2689642857142857,0.2685728715728717
gtsrb,resnet18,4,0.01,0,full_vs_naive_dual,0.0017418844022170088,-6.313131313129272e-05,0.0,0.45612628661916077,0.9064330958036421,0.9044202416084839
