dataset,model,kc,poison_rate,comparison,n,clean_acc_improvement_mean_pct,clean_acc_improvement_std_pct,valid_asr_improvement_mean_pct,valid_asr_improvement_std_pct,wrong_asr_reduction_mean_pct,wrong_asr_reduction_std_pct,single_leak_reduction_mean_pct,single_leak_reduction_std_pct,invalid_leak_reduction_mean_pct,invalid_leak_reduction_std_pct,csg_improvement_mean_pct,csg_improvement_std_pct
cifar100,vgg11,8,0.05,full_vs_single,3,-0.8533333333333356,0.4479211240088327,-0.17760942760942272,0.03536105018736841,-0.016835016835016835,0.005831820900905311,97.68958333333333,0.21823988139965106,97.32321428571429,0.3301149691503617,97.16006914381914,0.2805560599326183
cifar100,vgg11,8,0.05,full_vs_wo_invalid,3,-0.8700000000000041,0.40000000000000036,-0.09259259259259225,0.04815116481803297,0.0101010101010101,0.0101010101010101,0.3783333333333333,0.13960090063582453,27.643214285714286,4.023743477814548,27.550621693121695,4.003455034705234
gtsrb,resnet18,4,0.01,full_vs_naive_dual,3,0.031670625494858065,0.16071087197295922,-0.0006996921354603576,0.007970076696917475,-0.008210180623973726,0.014220449980040045,45.46549221430457,2.2808780381791767,91.01477962523093,4.393227568505695,90.82174686368401,4.334261663530394
gtsrb,resnet18,4,0.01,full_vs_single,3,0.07653734494590023,0.03570269004610046,-0.006259532465417254,0.0020245110380036216,-0.008210180623973726,0.014220449980040045,95.58425705991027,0.13440109944959122,94.11300255124483,0.23021070338190222,95.57799752744485,0.13635314215057812
gtsrb,resnet18,4,0.01,full_vs_wo_invalid,3,-0.0659804697809426,0.09446043899801541,-0.005575350746752269,0.0011847606905928826,-0.008210180623973726,0.014220449980040045,-0.2484164687252573,0.153257662120926,37.30227852555643,13.56103562188685,37.104370105398225,13.57452666840778
gtsrb,resnet18,4,0.05,full_vs_naive_dual,3,0.1477962523093142,0.11373165176255096,0.0020870997882468005,0.0020785149864565493,0.0,0.0,48.81565056743204,0.758339304033425,95.48495645288995,0.950276142723842,95.48154518019643,0.9454883820507618
gtsrb,resnet18,4,0.05,full_vs_single,3,0.5331221958300343,0.1806082038630318,0.0,0.0,0.0,0.0,95.99168646080761,0.03776481399117149,94.5555115685757,1.269607633985101,95.97882026920033,0.05874392815420701
gtsrb,resnet18,4,0.05,full_vs_wo_invalid,3,-0.007917656373716369,0.302118511929358,0.0,0.0,0.0,0.0,-0.013855898653998416,0.013855898653998416,42.82088501803465,19.00016943184729,42.81538664555292,18.997219609831358
gtsrb,resnet18,8,0.01,full_vs_naive_dual,3,0.010556875164953922,0.3071941837308284,-1.841363130481984,0.219757104554296,-0.8767204715026856,0.6380516172053533,47.62371338083927,0.16465986086648024,95.43773328808958,0.2672280840640623,92.94554079376562,0.3130461943896366
gtsrb,resnet18,8,0.01,full_vs_single,3,-0.052784375824754814,0.17991266262501274,-1.8869001714162652,0.26140878120775274,-0.8935554883377025,0.6110122216295574,95.69691871206123,0.12399545567512202,94.36720016589376,0.2466817168850702,93.30795157170552,0.5831080815109543
