method,dataset,model,kc,poison_rate,n,clean_acc_mean_pct,clean_acc_std_pct,valid_asr_mean_pct,valid_asr_std_pct,wrong_asr_mean_pct,wrong_asr_std_pct,single_leak_mean_pct,single_leak_std_pct,invalid_leak_mean_pct,invalid_leak_std_pct,csg_mean_pct,csg_std_pct
naive_dual,cifar10,resnet18,8,0.05,3,93.71666666666667,0.2569695182961045,99.96712962962962,0.013127265628479328,0.09629629629629628,0.046259244432580726,48.571875000000006,1.4474292944734815,88.69946428571428,1.9445157458784939,11.267665343915349,1.941117161554599
naive_dual,cifar10,vgg11,4,0.01,3,90.69333333333334,0.19502136635080494,99.67592592592592,0.02245251046848511,0.30000000000000004,0.04843221048378527,51.48166666666666,0.752560559578648,88.9988888888889,0.472037790781551,10.67703703703703,0.49403981050330453
naive_dual,cifar10,vgg11,4,0.05,3,90.76,0.15099668870541527,99.9574074074074,0.018495355884664704,0.04444444444444444,0.019245008972987525,50.439166666666665,0.9585082267948101,89.84805555555555,0.1402981283368192,10.109351851851851,0.13594159890467478
naive_dual,cifar10,vgg11,8,0.01,3,90.76333333333334,0.18448125469362558,99.71481481481482,0.12517220648259608,0.3444444444444445,0.13877773329774218,54.01541666666666,2.5521637062174016,88.96000000000001,0.5250962314623083,10.75481481481481,0.6471726026488333
naive_dual,cifar10,vgg11,8,0.05,3,90.55333333333334,0.13203534880225323,99.92268518518517,0.015977253635867272,0.12222222222222222,0.03849001794597505,52.675833333333344,2.3558561784059187,89.59738095238095,0.32896338875239356,10.325304232804228,0.31377010872245636
naive_dual,cifar100,resnet18,4,0.01,3,76.57666666666665,0.2150193789716012,99.81986531986531,0.022062866030441122,0.04377104377104377,0.03085909558892822,47.250416666666666,0.5583266479699243,90.78194444444443,4.899454712667673,9.037920875420875,4.883562742352905
naive_dual,cifar100,resnet18,4,0.05,3,76.30333333333333,0.3536005279030717,99.98316498316498,0.005831820900908554,0.003367003367003367,0.005831820900905311,49.317083333333336,1.1758868550304185,95.72388888888888,2.8172604568057755,4.259276094276099,2.818444446839743
naive_dual,cifar100,resnet18,8,0.01,3,76.58999999999999,0.11135528725659913,99.64183501683502,0.07266777050557813,0.09090909090909093,0.01749546270271593,48.931875000000005,0.18582480828726705,97.12708333333335,1.1722419368835226,2.5147516835016854,1.1070812655636886
naive_dual,cifar100,resnet18,8,0.05,3,76.36333333333333,0.30534133905079625,99.97348484848484,0.006313131313129272,0.0101010101010101,0.0101010101010101,50.516875000000006,0.47056689548352115,97.99309523809524,1.3998996562679196,1.9803896103896101,1.3990019994423555
naive_dual,cifar100,vgg11,4,0.01,3,68.77000000000001,0.12767145334803995,99.61363636363636,0.11439143083744333,0.05723905723905724,0.015429547794464107,52.76833333333333,4.64178042574542,92.73805555555555,2.6606134857153463,6.875580808080812,2.7495715964971486
naive_dual,cifar100,vgg11,4,0.05,3,68.60333333333334,0.18876793513023918,99.97138047138048,0.010513464643766192,0.003367003367003367,0.005831820900905311,49.78125,1.376160305887366,96.54583333333333,3.572614102835314,3.4255471380471323,3.562273005129382
naive_dual,cifar100,vgg11,8,0.01,3,68.84666666666666,0.3231614663497698,99.44612794612794,0.18017253527787674,0.3569023569023569,0.20235662223995585,51.043958333333336,3.2429221205894443,88.10119047619048,6.158703836902716,11.344937469937461,6.215138430673668
naive_dual,cifar100,vgg11,8,0.05,3,68.97333333333333,0.213853532431272,99.96885521885521,0.004780225880307873,0.030303030303030304,0.0101010101010101,50.325208333333336,0.6322493121454039,97.25803571428571,1.2104329766952944,2.710819504569502,1.2097885248637819
naive_dual,gtsrb,resnet18,4,0.01,3,98.49036685141198,0.1830217835585732,99.99444015967003,0.009629925933455855,0.0,0.0,45.95011876484561,2.4093616658762436,91.30707310636052,4.449748172511747,8.68736705330953,4.458373131230622
naive_dual,gtsrb,resnet18,4,0.05,3,98.60121404064395,0.22965753410194473,99.99791290021174,0.0020785149864565493,0.0,0.0,48.87338347849037,0.7589680840188318,95.55005718307382,0.9209215255335872,4.447855717137946,0.9209036964321259
naive_dual,gtsrb,resnet18,8,0.01,3,98.40591185009237,0.22343134350273705,99.95446295906572,0.04972550583720519,0.016835016835016835,0.029159104504526554,48.10190683557667,0.05694328611438383,95.76716434792444,0.26616255821972795,4.187298611141276,0.2760987466498714
naive_dual,gtsrb,resnet18,8,0.05,3,98.35576669305884,0.1678343953083644,99.99965190754665,0.0006029138149408546,0.0,0.0,51.727863552388484,5.796859942887302,94.39797534215586,2.972399081833507,5.601676565390782,2.972703869087407
naive_dual,gtsrb,vgg11,4,0.01,3,96.56637635259963,0.3821311754602954,99.85650205477312,0.1063474870131846,0.0,0.0,48.24524940617578,0.14314530967351205,95.80628134072315,0.17191806177658853,4.0502207140499795,0.0773264211917895
naive_dual,gtsrb,vgg11,4,0.05,3,96.69305885457904,0.08685395973557174,100.0,0.0,0.0,0.0,48.80179466877804,0.6810265688862137,96.06536465206298,0.029744924680335155,3.93463534793701,0.029744924680335155
naive_dual,gtsrb,vgg11,8,0.01,3,96.71153338611771,0.23344781617836455,99.53089821776128,0.13146346336442724,0.1860110532230869,0.25858457387543665,50.38648060174188,3.4173006788756224,93.65626060400407,2.103154021536146,5.8746376137572085,1.9976610294199615
naive_dual,gtsrb,vgg11,8,0.05,3,96.58221166534705,0.34714506665170697,99.99930555555557,0.0012028130608131903,0.0,0.0,49.70952098178938,1.2122263045000523,96.13038683406855,0.007136879009234402,3.86891872148701,0.008299211932284655
single,cifar10,resnet18,4,0.01,3,93.89666666666666,0.050332229568472005,100.0,0.0,0.0,0.0,89.89541666666666,0.017017148213885416,87.74055555555555,0.5970682618086958,10.104583333333332,0.017017148213885416
single,cifar10,resnet18,4,0.05,3,94.13333333333333,0.30615900008546926,100.0,0.0,0.0,0.0,90.03916666666667,0.056268515471207904,92.91583333333334,0.9794730017264978,7.084166666666665,0.9794730017264978
single,cifar10,resnet18,8,0.01,3,94.30000000000001,0.09539392014169686,100.0,0.0,0.0,0.0,89.84,0.03411263512248536,86.63732142857143,0.3587883521418308,10.160000000000002,0.03411263512248536
single,cifar10,resnet18,8,0.05,3,94.15999999999998,0.19672315572906038,100.0,0.0,0.0,0.0,89.96229166666666,0.007864410870077427,90.20636904761905,0.4575014056147291,9.753065476190475,0.41321299632983716
single,cifar10,vgg11,4,0.01,3,90.64999999999999,0.2946183972531243,99.99907407407407,0.001603750747746647,0.003703703703703704,0.006415002990995842,89.62041666666666,0.09406059660311548,87.58416666666668,0.32546121120650007,10.37865740740741,0.09502297615809989
single,cifar10,vgg11,4,0.05,3,91.04333333333334,0.10785793124909039,100.0,0.0,0.0,0.0,89.94,0.06709368450160132,90.33416666666666,1.1603827792777908,9.390138888888888,0.7080747485520434
single,cifar10,vgg11,8,0.01,3,90.61333333333333,0.16165807537309437,99.99629629629631,0.004243125643471509,0.014814814814814815,0.016972502573910517,89.460625,0.037831864876051925,86.71994047619049,0.5603757034317224,10.535671296296305,0.03552117840424826
single,cifar10,vgg11,8,0.05,3,90.72,0.07000000000000339,100.0,0.0,0.0,0.0,89.90083333333332,0.03663765424168728,88.87571428571427,0.18503386686699821,10.099166666666665,0.03663765424168728
single,cifar100,resnet18,4,0.01,3,76.62,0.15716233645501676,99.99831649831648,0.0014579552252271383,0.003367003367003367,0.005831820900905311,98.67458333333333,0.09291573243177621,98.41916666666667,0.06491982234520906,1.3237331649831652,0.09432073858762505
single,cifar100,resnet18,4,0.05,3,76.87333333333333,0.0665832811847927,100.0,0.0,0.0,0.0,99.01625,0.003307189138829325,98.96888888888888,0.09483294278380533,0.9625000000000031,0.034731109973623886
single,cifar100,resnet18,8,0.01,3,76.68333333333334,0.33231511150312226,99.99747474747474,0.0,0.0,0.0,98.47083333333333,0.08443130837155995,98.41827380952381,0.1144474766649109,1.4800342712842731,0.05671838251366221
single,cifar100,resnet18,8,0.05,3,76.52666666666667,0.25813433195399205,100.0,0.0,0.0,0.0,98.94083333333333,0.01262953713852751,98.81130952380953,0.06233455994827721,1.0591666666666666,0.01262953713852751
single,cifar100,vgg11,4,0.01,3,68.86333333333333,0.1871719352182178,99.99915824915824,0.0014579552252271385,0.0,0.0,98.42875,0.07988272654335286,98.77805555555557,0.02147888713580382,1.22110269360269,0.02173907066743347
single,cifar100,vgg11,4,0.05,3,69.30666666666667,0.33291640592396693,100.0,0.0,0.0,0.0,98.99041666666668,0.04157698682364413,99.02638888888889,0.09417158295917415,0.9711111111111115,0.09189869623868278
single,cifar100,vgg11,8,0.01,3,68.81666666666666,0.2402776172125361,99.99452861952861,0.0014579552252303432,0.013468013468013467,0.005831820900905311,97.95854166666666,0.24325457129996958,98.53934523809525,0.1784322076338448,1.455183381433378,0.17953577811245125
single,cifar100,vgg11,8,0.05,3,68.91,0.28687976575562135,100.0,0.0,0.0,0.0,98.87687499999998,0.027775607554111438,98.88815476190477,0.05959186585592643,1.0973809523809517,0.03741160216016877
